Unnamed: 0,zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random,Listing_Count_old
14390,3106,18180.0,6.0,&rd=4&zc=03106,985.0,5,0.9668965886001436,836
14391,47591,47180.0,13.0,&rd=10&zc=47591,256.0,3,0.9669758628792616,152
14392,34983,38940.0,4.0,&rd=3&zc=34983,136.0,2,0.966995987937807,138
14393,67526,24460.0,12.0,&rd=9&zc=67526,0.0,0,0.9670461521441618,229
14394,11726,35620.0,2.0,&rd=2&zc=11726,1847.0,5,0.9672488360280304,2175
14395,85286,38060.0,6.0,&rd=4&zc=85286&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,690.0,7,0.9672629036637282,835
14396,92618,31080.0,4.0,&rd=3&zc=92618,1904.0,5,0.9672864981180632,1899
14397,86433,29420.0,35.0,&rd=26&zc=86433,1169.0,5,0.96729649140979,1563
14398,56128,99999.0,10.0,&rd=8&zc=56128,15.0,1,0.9672993250752392,15
14399,45231,17140.0,4.0,&rd=3&zc=45231,1690.0,5,0.9672995706089372,1652
14400,42366,36980.0,10.0,&rd=8&zc=42366,60.0,1,0.9673971193004226,102
14401,95060,42100.0,9.0,&rd=7&zc=95060,751.0,8,0.9674296718671866,821
14402,33417,33100.0,3.0,&rd=2&zc=33417&clrId=27123,788.0,8,0.967453911589492,1247
14403,78112,41700.0,7.0,&rd=5&zc=78112,29.0,1,0.9674698989751188,29
14404,80206,19740.0,1.0,&rd=1&zc=80206,40.0,1,0.9675179831945075,40
14405,35461,46220.0,11.0,&rd=8&zc=35461,31.0,1,0.967569468575823,31
14406,75708,46340.0,6.0,&rd=4&zc=75708,91.0,1,0.9675800985717148,91
14407,16635,11020.0,7.0,&rd=5&zc=16635,88.0,1,0.9676206179715904,111
14408,54177,31940.0,16.0,&rd=12&zc=54177,7.0,1,0.9676641829332014,7
14409,36769,99999.0,10.0,&rd=8&zc=36769,0.0,0,0.9677421979567002,186
14410,70806,12940.0,3.0,&rd=2&zc=70806,64.0,1,0.967796735587008,352
14411,81004,39380.0,16.0,&rd=12&zc=81004,1372.0,5,0.9678912316856484,1335
14412,40204,31140.0,2.0,&rd=2&zc=40204,163.0,2,0.9681039124107608,152
14413,51401,16140.0,13.0,&rd=10&zc=51401,99.0,1,0.9682163196173,99
14414,60118,16980.0,5.0,&rd=4&zc=60118,1243.0,5,0.9682224082140743,1707
14415,60137,16980.0,5.0,&rd=4&zc=60137&clrId=27123,624.0,7,0.968419143343144,1672
14416,97221,38900.0,2.0,&rd=2&zc=97221,982.0,5,0.9684907683292144,1032
14417,63841,99999.0,10.0,&rd=8&zc=63841,269.0,3,0.9685082958244042,314
14418,62089,99999.0,0.056818182,&rd=1&zc=62089,55.0,1,0.968549142337948,55
14419,55080,33460.0,11.0,&rd=8&zc=55080,272.0,3,0.9686267386132414,413
14420,17529,29540.0,4.0,&rd=3&zc=17529,39.0,1,0.9687296417363388,39
14421,80021,19740.0,4.0,&rd=3&zc=80021,39.0,1,0.9688444427058258,444
14422,51240,99999.0,9.0,&rd=7&zc=51240,8.0,1,0.9688642496241421,8
14423,16509,21500.0,7.0,&rd=5&zc=16509,918.0,5,0.9688825828411838,981
14424,11784,35620.0,2.0,&rd=2&zc=11784,120.0,2,0.9689197602984698,135
14425,70053,35380.0,2.0,&rd=2&zc=70053,726.0,8,0.9689468307829592,778
14426,8055,37980.0,7.0,&rd=5&zc=08055,,15,0.9689933482215493,1467
14427,10801,35620.0,2.0,&rd=2&zc=10801,1409.0,5,0.9689991429082768,1287
14428,7866,35620.0,6.0,&rd=4&zc=07866,1543.0,5,0.9690032993328868,1791
14429,52154,99999.0,11.0,&rd=8&zc=52154,0.0,0,0.9690131692171028,218
14430,37127,34980.0,6.0,&rd=4&zc=37127,360.0,4,0.969059602714842,1072
14431,93424,42020.0,0.284090909,&rd=1&zc=93424,828.0,9,0.969102477324664,776
14432,25425,47900.0,12.0,&rd=9&zc=25425,10.0,1,0.9692562105195228,10
14433,58554,13900.0,34.0,&rd=26&zc=58554,1175.0,5,0.9692987164787992,1186
14434,57719,39660.0,11.0,&rd=8&zc=57719,341.0,4,0.9693338467472706,326
14435,88263,16100.0,21.0,&rd=16&zc=88263,93.0,1,0.96951326236661,93
14436,48723,99999.0,11.0,&rd=8&zc=48723,164.0,2,0.9695196325600264,166
14437,2802,39300.0,4.0,&rd=3&zc=02802,881.0,9,0.9696311078986188,1183
14438,77004,26420.0,2.0,&rd=2&zc=77004,371.0,4,0.969675076073052,379
14439,2739,14460.0,4.0,&rd=3&zc=02739,20.0,1,0.9697231428715948,20
14440,74747,,9.0,&rd=7&zc=74747,,3,0.9697979864559356,211
14441,22989,47900.0,11.0,&rd=8&zc=22989,106.0,2,0.9699479532577544,222
14442,53718,31540.0,7.0,&rd=5&zc=53718,1942.0,5,0.9700733425351504,2373
14443,91361,37100.0,7.0,&rd=5&zc=91361,1403.0,5,0.9700946431594459,1064
14444,53716,31540.0,3.0,&rd=2&zc=53716,163.0,2,0.9701696386828168,121
14445,94044,41860.0,5.0,&rd=4&zc=94044,860.0,9,0.970209175790822,2557
14446,99185,99999.0,23.0,&rd=17&zc=99185,0.0,0,0.9703749934300101,115
14447,38555,18900.0,10.0,&rd=8&zc=38555,154.0,2,0.9704053754265828,153
14448,58601,19860.0,29.0,&rd=22&zc=58601,485.0,5,0.9704689660876268,407
14449,62643,30660.0,7.0,&rd=5&zc=62643,0.0,0,0.9704862745466719,191
14450,47834,45460.0,10.0,&rd=8&zc=47834,92.0,1,0.970515663537765,92
14451,64080,28140.0,11.0,&rd=8&zc=64080,21.0,1,0.9705259096019788,1466
14452,1020,44140.0,4.0,&rd=3&zc=01020,585.0,6,0.9707221754862979,1085
14453,27258,15500.0,6.0,&rd=4&zc=27258,299.0,3,0.9707846876960792,351
14454,18431,99999.0,13.0,&rd=10&zc=18431,259.0,3,0.9708606565470916,450
14455,44889,35940.0,11.0,&rd=8&zc=44889,29.0,1,0.9709738048303936,29
14456,57783,43940.0,12.0,&rd=9&zc=57783,282.0,3,0.9709832649864344,300
14457,92311,40140.0,15.0,&rd=4&zc=92311&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,0.0,0,0.9710213584699059,0
14458,55910,49100.0,11.0,&rd=8&zc=55910,145.0,2,0.9710251719988986,104
14459,14701,27460.0,11.0,&rd=8&zc=14701,267.0,3,0.9710394200884876,279
14460,30120,12060.0,9.0,&rd=7&zc=30120,728.0,8,0.9710447252512368,750
14461,46410,16980.0,6.0,&rd=4&zc=46410,2300.0,5,0.9710802905952388,2348
14462,60056,16980.0,4.0,&rd=3&zc=60056,1271.0,5,0.9711143692530056,1831
14463,85029,38060.0,3.0,&rd=2&zc=85029,28.0,1,0.9711223289912934,477
14464,14710,27460.0,8.0,&rd=6&zc=14710,256.0,3,0.9715781031735484,269
14465,97306,41420.0,6.0,&rd=4&zc=97306,12.0,1,0.9716510050442536,282
14466,69033,99999.0,17.0,&rd=13&zc=69033,72.0,1,0.9716801138328042,72
14467,75961,34860.0,15.0,&rd=11&zc=75961,247.0,3,0.9717153973228536,264
14468,48125,19820.0,3.0,&rd=2&zc=48125,183.0,2,0.9717228039303094,1206
14469,39425,25620.0,13.0,&rd=10&zc=39425,5.0,1,0.9717236866517248,181
14470,53235,33340.0,2.0,&rd=2&zc=53235,425.0,5,0.9717302208738328,482
14471,56140,,8.0,&rd=6&zc=56140,0.0,0,0.9718136595796572,150
14472,67215,48620.0,4.0,&rd=3&zc=67215,0.0,0,0.9718612444294564,649
14473,93250,12540.0,9.0,&rd=7&zc=93250,5.0,1,0.9719350231747564,5
14474,56232,99999.0,14.0,&rd=10&zc=56232,55.0,1,0.9719456423245848,55
14475,29129,12260.0,11.0,&rd=8&zc=29129,30.0,1,0.9719862456152304,30
14476,40045,99999.0,7.0,&rd=5&zc=40045,0.0,0,0.9721870494833296,196
14477,1832,14460.0,3.0,&rd=2&zc=01832,1175.0,5,0.9722738061968866,1346
14478,57077,43620.0,8.0,&rd=6&zc=57077,290.0,3,0.9722950593461726,298
14479,76556,99999.0,9.0,&rd=7&zc=76556,4.0,1,0.9723047283058476,4
14480,1581,49340.0,5.0,&rd=4&zc=01581,1722.0,5,0.9723875933612116,2379
14481,28139,22580.0,13.0,&rd=10&zc=28139,376.0,4,0.972484244217096,390
14482,84087,36260.0,3.0,&rd=2&zc=84087,1611.0,5,0.9724891974363344,1830
14483,56055,31860.0,12.0,&rd=9&zc=56055,58.0,1,0.9726987373983499,58
14484,55127,33460.0,4.0,&rd=3&zc=55127&clrId=27123,833.0,9,0.9727056959596054,1116
14485,54563,99999.0,7.0,&rd=5&zc=54563,55.0,1,0.9727555246304636,55
14486,3825,14460.0,7.0,&rd=5&zc=03825,16.0,1,0.97277260032293,16
14487,30523,18460.0,14.0,&rd=10&zc=30523,64.0,1,0.9729009819338341,146
14488,53006,13180.0,7.0,&rd=5&zc=53006,210.0,3,0.9730556790784368,200
14489,85342,38060.0,13.0,&rd=10&zc=85342,173.0,2,0.9733009013122852,223
14490,19345,37980.0,6.0,&rd=4&zc=19345,433.0,5,0.9733564632021806,2170
14491,32040,27260.0,12.0,&rd=9&zc=32040,3.0,1,0.9734106833705396,3
14492,56727,99999.0,36.0,&rd=27&zc=56727,36.0,1,0.9734124486097896,36
14493,19508,39740.0,6.0,&rd=4&zc=19508,16.0,1,0.9734588340248712,16
14494,88342,10460.0,53.0,&rd=40&zc=88342&clrId=27133,25.0,1,0.9735555356365276,845
14495,37421,16860.0,5.0,&rd=4&zc=37421,1880.0,5,0.9735949895613146,1970
14496,95234,44700.0,13.0,&rd=10&zc=95234,620.0,7,0.9736051412704584,3415
14497,43040,18140.0,12.0,&rd=9&zc=43040,1123.0,5,0.9736890779468392,1112
14498,84032,25720.0,35.0,&rd=26&zc=84032&clrId=27133,530.0,6,0.9737038755275752,1959
14499,54856,99999.0,18.0,&rd=14&zc=54856,115.0,2,0.9738072698567874,136
14500,98051,42660.0,20.0,&rd=15&zc=98051&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,671.0,7,0.9738801712185388,1314
14501,49274,25880.0,11.0,&rd=8&zc=49274,29.0,1,0.9740845679279776,29
14502,6801,14860.0,4.0,&rd=3&zc=06801,1448.0,5,0.9741902710701136,1810
14503,45033,17140.0,5.0,&rd=4&zc=45033,30.0,1,0.9742052653554382,301
14504,15722,27780.0,5.0,&rd=4&zc=15722,49.0,1,0.9742314004350155,49
14505,79766,36220.0,16.0,&rd=12&zc=79766,1136.0,5,0.9743813834696864,2022
14506,39272,27140.0,4.0,&rd=3&zc=39272,25.0,1,0.9745758060592612,25
14507,54408,48140.0,10.0,&rd=8&zc=54408,9.0,1,0.9747122479239504,234
14508,89431,39900.0,3.0,&rd=2&zc=89431,0.0,0,0.9747169190894877,569
14509,57005,43620.0,8.0,&rd=6&zc=57005,126.0,2,0.9747968229455964,385
14510,55432,33460.0,3.0,&rd=2&zc=55432,,2,0.9748052317882632,193
14511,98248,13380.0,11.0,&rd=8&zc=98248,407.0,5,0.9749147078504614,1830
14512,80024,19740.0,13.0,&rd=10&zc=80024&clrId=27133,990.0,5,0.9749673362596496,1582
14513,81639,44460.0,35.0,&rd=26&zc=81639,72.0,1,0.9750222845658258,175
14514,38571,18900.0,14.0,&rd=10&zc=38571,,2,0.9750776655570872,153
14515,44308,10420.0,0.7386363640000001,&rd=1&zc=44308,701.0,8,0.9751130905811168,767
14516,38225,32280.0,10.0,&rd=8&zc=38225,125.0,2,0.9751239885034448,216
14517,70085,35380.0,38.0,&rd=28&zc=70085&clrId=27127,1270.0,5,0.975144977220734,1230
14518,3254,99999.0,9.0,&rd=7&zc=03254,4.0,1,0.9751595502633948,4
14519,30533,99999.0,13.0,&rd=10&zc=30533,154.0,2,0.9751685828192652,599
14520,68355,99999.0,12.0,&rd=9&zc=68355,59.0,1,0.9752328205116646,59
14521,38673,37060.0,6.0,&rd=4&zc=38673,61.0,1,0.9754383108190628,136
14522,22043,47900.0,2.0,&rd=2&zc=22043,240.0,3,0.9754704287887268,255
14523,97002,41420.0,6.0,&rd=4&zc=97002,8.0,1,0.975489217770378,211
14524,90504,31080.0,2.0,&rd=2&zc=90504,1919.0,5,0.9755258156656004,1860
14525,85365,49740.0,23.0,&rd=17&zc=85365,32.0,1,0.9755672808790072,32
14526,53021,33340.0,7.0,&rd=5&zc=53021,0.0,0,0.9755970464766872,159
14527,90265,31080.0,19.0,&rd=14&zc=90265&clrId=27134,858.0,9,0.9756098909684916,1450
14528,38619,99999.0,21.0,&rd=16&zc=38619,323.0,4,0.975646359534965,653
14529,60518,36837.0,13.0,&rd=10&zc=60518,0.0,0,0.9758354241284048,183
14530,82935,40540.0,38.0,&rd=28&zc=82935,212.0,3,0.9759835015832472,198
14531,36351,21460.0,10.0,&rd=8&zc=36351,19.0,1,0.9760700278019304,113
14532,29102,44940.0,14.0,&rd=10&zc=29102,115.0,2,0.9760768999865699,126
14533,61264,19340.0,8.0,&rd=6&zc=61264,937.0,5,0.9761171486670144,2253
14534,64484,41140.0,10.0,&rd=8&zc=64484,4.0,1,0.9761220165293204,4
14535,94062,41860.0,9.0,&rd=7&zc=94062,2332.0,5,0.9761690579442468,3206
14536,92359,40140.0,6.0,&rd=4&zc=92359,,6,0.9763244728919576,581
14537,87016,10740.0,24.0,&rd=18&zc=87016,93.0,1,0.9763440424079284,93
14538,47006,99999.0,9.0,&rd=7&zc=47006,89.0,1,0.9763466129889172,89
14539,20147,47900.0,5.0,&rd=4&zc=20147,1565.0,5,0.976359599638702,2116
14540,80016,19740.0,6.0,&rd=4&zc=80016,159.0,2,0.9764196734493922,748
14541,85256,38060.0,8.0,&rd=6&zc=85256&clrId=27134,,22,0.9765720782350642,2104
14542,50607,99999.0,10.0,&rd=8&zc=50607,73.0,1,0.9766296724199752,73
14543,16511,21500.0,5.0,&rd=4&zc=16511,24.0,1,0.9766347932474898,24
14544,76904,41660.0,24.0,&rd=18&zc=76904,,11,0.9766665165464878,1045
14545,84017,25720.0,55.0,&rd=41&zc=84017&clrId=27123,3057.0,5,0.9767406253922336,3378
14546,83338,46300.0,23.0,&rd=17&zc=83338,64.0,1,0.9769134405125558,64
14547,21043,12580.0,6.0,&rd=4&zc=21043,2643.0,5,0.9769498428173796,3965
14548,63134,41180.0,3.0,&rd=2&zc=63134,0.0,0,0.9769989447435464,1280
14549,62675,44100.0,11.0,&rd=8&zc=62675,20.0,1,0.9770091416838804,20
14550,44138,17460.0,3.0,&rd=2&zc=44138,4.0,1,0.9770324089409532,1317
14551,70471,35380.0,8.0,&rd=6&zc=70471,1378.0,5,0.977094937305239,1298
14552,22551,47900.0,14.0,&rd=10&zc=22551,352.0,4,0.9771314510219554,3407
14553,98831,48300.0,37.0,&rd=28&zc=98831,0.0,0,0.9772505646639486,521
14554,10990,39100.0,7.0,&rd=5&zc=10990,126.0,2,0.9773733619285186,131
14555,45429,19430.0,3.0,&rd=2&zc=45429,0.0,0,0.9774263302560562,151
14556,61607,37900.0,6.0,&rd=4&zc=61607,764.0,8,0.9776567581752204,850
14557,54935,22540.0,4.0,&rd=3&zc=54935,1324.0,5,0.9777044649236576,1597
14558,32773,36740.0,5.0,&rd=4&zc=32773,964.0,5,0.9778142057346259,3003
14559,22630,47900.0,12.0,&rd=9&zc=22630,,4,0.9778164698474804,387
14560,29320,43900.0,5.0,&rd=4&zc=29320,1654.0,5,0.9779441368328148,1675
14561,77554,26420.0,12.0,&rd=9&zc=77554,476.0,5,0.978138752865492,437
14562,60305,16980.0,2.0,&rd=2&zc=60305,616.0,7,0.9781610607818164,659
