zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random
55369,33460.0,6.0,&rd=6&zc=55369&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,724,8,0.019337011623686617
99348,47460.0,25.0,&rd=25&zc=99348,646,7,0.019477081113360106
20794,12580.0,3.0,&rd=3&zc=20794,765,8,0.019483353821813987
5301,99999.0,11.0,&rd=11&zc=05301,101,2,0.019486772156543597
95348,32900.0,9.0,&rd=9&zc=95348,776,8,0.01962488161803233
83607,14260.0,23.0,&rd=23&zc=83607&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,1067,11,0.019632473271949835
8611,45940.0,3.0,&rd=3&zc=08611,867,9,0.01970581939416738
85712,46060.0,2.0,&rd=2&zc=85712,1684,17,0.019822185920173596
55110,33460.0,6.0,&rd=6&zc=55110&clrId=27122%2C27125%2C27126%2C27128%2C27129%2C29637%2C27131%2C27132%2C27135,982,10,0.019839003852120007
77025,26420.0,2.0,&rd=2&zc=77025,1378,14,0.01987875147138174
33435,33100.0,3.0,&rd=3&zc=33435,720,8,0.020052412217759108
85705,46060.0,4.0,&rd=4&zc=85705,1760,18,0.020113312765191904
97701,13460.0,37.0,&rd=37&zc=97701,1481,15,0.020172637520672665
6108,25540.0,3.0,&rd=3&zc=06108,2801,29,0.020194885803859863
98466,42660.0,3.0,&rd=3&zc=98466,1048,11,0.020280328571807837
13077,18660.0,10.0,&rd=10&zc=13077,465,5,0.02045793537219709
39120,35020.0,25.0,&rd=25&zc=39120,546,6,0.020462758963464278
6877,14860.0,6.0,&rd=6&zc=06877,677,7,0.020514628376005817
84121,41620.0,11.0,&rd=11&zc=84121&clrId=27127,1675,17,0.020548960205824196
28659,35900.0,11.0,&rd=11&zc=28659,827,9,0.020661519695622466
90248,31080.0,2.0,&rd=2&zc=90248,822,9,0.02069351381508422
28016,16740.0,7.0,&rd=7&zc=28016,18,1,0.020713505215813388
62379,22800.0,12.0,&rd=12&zc=62379,38,1,0.02088799549189957
31771,34220.0,9.0,&rd=9&zc=31771,82,1,0.021286078338977332
89801,21220.0,42.0,&rd=42&zc=89801,246,3,0.02131599812134599
84097,39340.0,3.0,&rd=3&zc=84097,1262,13,0.021392372603356247
46239,26900.0,4.0,&rd=4&zc=46239,932,10,0.02140684378640212
68843,99999.0,12.0,&rd=12&zc=68843,85,1,0.021444720161126418
71001,99999.0,12.0,&rd=12&zc=71001,22,1,0.021562395659927458
43567,45780.0,11.0,&rd=11&zc=43567,256,3,0.021814208614600483
47390,99999.0,14.0,&rd=14&zc=47390,21,1,0.02184705771781792
75494,99999.0,15.0,&rd=15&zc=75494,98,1,0.0218544330205952
33432,33100.0,2.0,&rd=2&zc=33432,51,1,0.022022228042131275
31029,31420.0,15.0,&rd=15&zc=31029,91,1,0.022045426165242965
8505,37980.0,7.0,&rd=7&zc=08505,687,7,0.022072911806614526
89510,39900.0,37.0,&rd=37&zc=89510,3285,33,0.022079218047033056
37353,17420.0,8.0,&rd=8&zc=37353,571,6,0.022110710678884038
91303,31080.0,0.9090909090000001,&rd=1&zc=91303,15,1,0.022170634056329463
28103,16740.0,16.0,&rd=16&zc=28103,597,6,0.02220305654436716
14224,15380.0,4.0,&rd=4&zc=14224,4163,42,0.022209476714513787
7746,35620.0,3.0,&rd=3&zc=07746,122,2,0.022335090622453646
29927,25940.0,17.0,&rd=17&zc=29927,2247,23,0.022495844088030847
94087,41940.0,2.0,&rd=2&zc=94087,1400,14,0.022496727084703294
24474,99999.0,17.0,&rd=17&zc=24474,305,4,0.02252042374882479
81025,39380.0,19.0,&rd=19&zc=81025,158,2,0.022628593440590428
12574,39100.0,6.0,&rd=6&zc=12574,1014,11,0.022675280270933795
10941,39100.0,5.0,&rd=5&zc=10941,22,1,0.022683295018772087
72076,30780.0,9.0,&rd=9&zc=72076,2301,24,0.02269063204816879
86314,39150.0,4.0,&rd=4&zc=86314,188,2,0.022721846687138836
11762,35620.0,2.0,&rd=2&zc=11762,2013,21,0.02285654590029884
37919,28940.0,5.0,&rd=5&zc=37919,1342,14,0.022876917272198316
38002,32820.0,11.0,&rd=11&zc=38002,1986,20,0.02288227973305501
8904,35620.0,1.0,&rd=1&zc=08904,60,1,0.022935317515710874
1605,49340.0,3.0,&rd=3&zc=01605,627,7,0.023227602105113543
12151,10580.0,2.0,&rd=2&zc=12151,25,1,0.023240996235497913
64057,28140.0,5.0,&rd=5&zc=64057,1865,19,0.02326007130053842
95610,40900.0,3.0,&rd=3&zc=95610,482,5,0.02326022478344003
13034,12180.0,8.0,&rd=8&zc=13034,160,2,0.023271825797357648
18444,42540.0,11.0,&rd=11&zc=18444,1511,16,0.023339180546304128
43023,18140.0,8.0,&rd=8&zc=43023,2048,21,0.023342541219788515
64086,28140.0,8.0,&rd=8&zc=64086,2355,24,0.02339827867987987
15106,38300.0,3.0,&rd=3&zc=15106,382,4,0.023492228859474107
53810,38420.0,7.0,&rd=7&zc=53810,128,2,0.023511502247982596
39532,25060.0,8.0,&rd=8&zc=39532,1052,11,0.023512337127696736
45230,17140.0,4.0,&rd=4&zc=45230,308,4,0.02355191559792813
90015,31080.0,1.0,&rd=1&zc=90015,1833,19,0.02357747953878364
80107,19740.0,15.0,&rd=15&zc=80107,685,7,0.02367230645921581
60083,16980.0,5.0,&rd=5&zc=60083,1686,17,0.02375575025614296
17050,25420.0,6.0,&rd=6&zc=17050,3005,31,0.02378316371767697
19604,39740.0,2.0,&rd=2&zc=19604,100,1,0.023874408504170663
6259,49340.0,6.0,&rd=6&zc=06259,93,1,0.02388211160168019
19044,37980.0,3.0,&rd=3&zc=19044,1423,15,0.02389606682963108
7040,35620.0,2.0,&rd=2&zc=07040,848,9,0.023927370449003504
89129,29820.0,3.0,&rd=3&zc=89129,845,9,0.024016378897117496
15063,38300.0,5.0,&rd=5&zc=15063,170,2,0.024150868722754848
24060,13980.0,12.0,&rd=12&zc=24060,1948,20,0.024194502512805638
90744,31080.0,3.0,&rd=3&zc=90744,519,6,0.024384689951200467
14456,40380.0,9.0,&rd=9&zc=14456,546,6,0.02450236621752877
17340,23900.0,7.0,&rd=7&zc=17340,25,1,0.02469161753971061
81022,39380.0,19.0,&rd=19&zc=81022,1335,14,0.02475708105891883
84111,41620.0,1.0,&rd=1&zc=84111,982,10,0.02484145493588541
54436,99999.0,13.0,&rd=13&zc=54436,288,3,0.02487055026926832
82942,40540.0,59.0,&rd=59&zc=82942,198,2,0.02499340925045368
30680,12060.0,9.0,&rd=9&zc=30680,10,1,0.025093394986766104
77350,99999.0,20.0,&rd=20&zc=77350,131,2,0.025127936843908016
98559,10140.0,18.0,&rd=18&zc=98559,132,2,0.025169750328140728
60948,99999.0,8.0,&rd=8&zc=60948,76,1,0.025191604469199658
77461,26420.0,15.0,&rd=15&zc=77461,921,10,0.025241031666377145
51551,36540.0,10.0,&rd=10&zc=51551,58,1,0.025306493943752062
48036,19820.0,4.0,&rd=4&zc=48036&clrId=27124,498,5,0.025341805981200616
41048,17140.0,7.0,&rd=7&zc=41048,2756,28,0.025343302794100353
72324,99999.0,11.0,&rd=11&zc=72324,90,1,0.025383674270974432
28692,14380.0,7.0,&rd=7&zc=28692,505,6,0.02539407634746338
